keyword,description
W,Shorthand for win
L,Shorthand for loss/losing
L+ratio,Response to a comment or action on the internet that is particularly bad.
Dank,excellent or of very high quality
Cheugy,Derogatory term for Millennials. Used when millennials are perceived to be excessively attempting to be trendy or stylish.
TFW, That feeling when
Woke, being politically aware
Bop,An excellent song or album.
G.O.A.T, The greatest of all time
Smol,"Something that is small, and in most cases exceptionally adorable."
Fam,"Fam is a shorter word for family, but don't be fooled– it can be used to describe your friends or the way Millennials use ""bro""."
Glow up,a makeover or transformation from bad to good.
Stan,Supporting something. Specifically used in some cases to the idolatry support of personalities.
Ghosting,common amongst the earlier talking stages of a relationship. Ghosting someone means you start ignoring them or stop texting them back.
Salty,Used when someone feels jealous
Sip tea,Gossiping (spilling the tea)
Drip,"Another way of saying swag, drip is a term for a cool or sexy trend or style."
Iykyk,"Acronym for ""If you know, you know."" Used to describe inside jokes."
Rent free,To be constantly thinking or upset about something.
Catch these hands,Used to threaten physical combat with someone
Drag,"If you drag someone, you're criticizing or making fun of them"
Bussin’,Used to say something is good. Primarily used to describe food
Snatched,"If someone is looking snatched, they look really good, particularly their outfit"
Cancel culture,"a form of shaming the actions or opinions of a public figure, company, or organization"
Ffs,For fuck sake
e-boy,"similar to emo or goth culture, but they use the internet to express themselves."
e-girl,"similar to emo or goth culture, but they use the internet to express themselves."
Big yikes,Used to describe something embarrassing.
Finna,"shortened term for saying ""I'm going to"""
cap,A lie or exaggeration
High-key,the opposite of being low-key.
Simp,"Sycophancy, being overly affectionate in pursuit of a sexual relationship"
Camp,Something that is ironically trendy. One might consider Crocs to be of the camp aesthetic.
Snack, a person that you find attractive
Take several seats,"If someone is really getting on your nerves, you might tell them to take several seats."
Sheesh,"To praise someone when they are doing something good. The one being praised is to do the ""ice in my veins"" pose popularized by Basketball player D'Angelo Russell."
Hits different,Something that is better in a peculiar manner
Bet,"Yes, ok, ""it's on."""
Periodt,Used to add emphasis to something
Finesse,Finesse means to trick or manipulate someone or a situation in order to get what you want.
I’m weak,"Similar to ""I'm dead"", this is just another term to use when you find something hilarious"
Main character,"a phrase used to describe someone who is generally well-liked and charismatic. It can also be used to describe someone when they're making a scene, but not necessarily in a bad way"
Sis,"A shortened version of ""sister"", this term is typically used to greet a friend, no matter their gender."
Sending me,Another term to use if you find something particularly funny.
Gaup,"Money, and lots of it."
"This ain’t it, chief",Another way of giving disapproval for something.
Extra,Someone who is out there and enjoys taking things to a new level of flamboyance.
Clapback,Swift and witty response to an insult or critique
@ me,"Pronounced ""at me."" Used on social media when someone feels attacked by a post."
Asl,"Has two definitions. It can be used as a shortened version of ""as hell."" It can also be used as an acronym for age/sex/location."
Bang 30s,To get in a physical altercation with someone.
Based,"Originally meaning ""to be your self and not care about how others view you"", The word is now used to indicate an opinion or something that someone agrees with. It is especially common in political slang and discussions."
Beat your face,To apply makeup to the face.
Big mad,Term used to describe when someone is excessively angry.
Body count,"A euphemism for how many people one has had sex with. Initially referred to specifically sexual intercourse, but was expanded to include all forms of sex."
Boujee,A high-class/materialistic person.
Bussy,"""Boy Pussy,"" i.e. a man's anus."
Cringe,A response to embarrassment or social awkwardness
Ded,"Used to describe something humorous to such an extent as to ""kill you."""
Facts,The truth
Glow-up,"A major improvement in one's self, usually an improvement in appearance, confidence, and style. Frequently used in a context relating to puberty."
I oop,"Used to express shock, embarrassment, and or amusement."
t's giving…,Describes the vibes or connotation of something.
Lit,"Colloquially: ""Enlightened"", ""Hot"", ""Fire."" The new hotness; something remarkable, interesting, fun or amusing. Generally positive."
Mid,Short for mediocre
Not you,Used to condemn or poke fun at someone or something.
NPC,Someone who cannot think for themselves and/or has no or little control over their own life. Someone that is ready to agree with popular opinion unquestioningly and always believes what they are told. Gullible
OK boomer,Derogatory term directed towards Baby Boomers. Used as a response when boomers are deemed to be out of touch with younger generations
On god,"Short for ""I swear to god."" Means that a person's statement is frank."
Ratio,"When an internet post has a comparable number of comments/replies to ""likes"", which is usually indicative of a poor reception."
Rizz,One's courtship/seduction skills
Sksksk,Used to convey happiness/laughter
Slaps,Used to refer to something (typically music) that is perceived to be good.
Sus,Short for suspect/suspicious.
Slay,To do something well.
Tea,Gossiping (spilling the tea)
Understood the assignment,To understand what was supposed to be done; to do something well
Valid,Understandable
Vibe Check,To check one's personality or attitude
Vibing,describes a generic positive feeling that someone has about something
Wig,"To do something so well as to ""make one's wig fly off."""
Word,"Slang for ""okay."""
Af,As fuck
Big brain,When you have done something silly making you feel like your own brain shrinks as you regret all of your life
Chad,Used to describe your typical alpha male
Clapped,To be completely and utterly destroyed.
Clown,People who are completely unintelligent.
Cringy,anything that’s embarrassing or try-hard
fomo,Fear of missing out
Fr,For real
I can’t even,an expression commonly used when someone is feeling either so overjoyed or exasperated that they can’t even find the right words; depending on the context.
Ion,I don’t
IRL,In Real Life
Karen,A stereotype for women who behave extremely unreasonably and childish – especially towards service staff or people of colour – and tend to invoke their racial privilege
Low key,Secretly
Mom,It just means to admire or look up to someone so much that you jokingly want to be adopted by them or have them as your second parent
Dad,It just means to admire or look up to someone so much that you jokingly want to be adopted by them or have them as your second parent
NGL,Not Gonna Lie
Pick me girl,"Pick me girls are the type of girls who claim that they are nothing like other girls, in order to get attention from guys (also see ‘simping’ below). It’s a derogatory term."
Boomer,"Short for ‘baby boomer’, referring to older folks born 1946 to 1964 – but mostly used to clap back at pretty much anyone who’s older and not so in-the-know."
Sleeping on,"When you ""sleep on"" something, you overlook or underestimate it"
Shade,Diss. Also: throwing shade; being shady.
Shook,Surprised or shocked.
Smh,"Shake my head’. Another one for texting, smh usually signifies exasperation"
TBH,short for “to be honest” and is usually used when making a comment or a joke (best to stick to texts with this one too).
Thirsty,"Stands for desperate, usually for attention"
Thirst trap,"a social media post intended to, uh, entice viewers and get attention."
Yas,A very enthusiastic and celebratory way of saying yes!
Yeet,The Gen Z version of YOLO (you only live once). Usually exclaimed (pretty loudly) when doing something risky or throwing an item very hard (most of the time for absolutely no reason at all and with absolutely no aim).
ick,used to express disgust at something unpleasant or offensive.
naur,"means no or know. It functions as a more dramatic way of saying ""no"" or ""know,"" and sounds like ""no"" with an Australian accent. "
Say less,"A shortened version of ""say no more."""
Unserious," a more fun way of saying something or someone is ridiculous, or that it can't be taken seriously."
Gagged,"To be “gagged” is to be shocked, amazed, et cetera."
Ate,"If you “ate” something, it means you executed it extremely well. "
Poggers,an expression that conveys excitement
Heather,"any lovely person who seems like they’re the main character, evoking as much admiration as jealousy"
Wth,What the hell
Flex,"Used to describe someone showing off, gloating, or parading around."
Gucci,"term born out of the popularity of the high-end fashion brand. These days, it means that something is good "
Hot girl summer,"Hands down one of the biggest slang terms to hit pop culture in the summer of 2019, hot girl summer is about women having a good time and being unapologetic about who they are"
Sturdy,"used to describe someone's dance moves. It's usually used in the phrase ""get sturdy"", which means that someone is performing a specific type of dance in which they move their legs, spin, and hop."
Skill issue,used to blame someone for their own loss.
TNTL,Trying not to laugh
G2G,Got to go
YNK,You never know
CSL,Can’t stop laughing
GMTA,Great minds think alike
IMO,In my opinion
IMOH,In my humble opinion
JK,Just kidding
Bae,"Short for “baby."" Often a pet name for a crush or significant other.  "
SSDD,"Some stuff, different day"
WYWH,Wish you were here
Benching,"Just like in sports, benching someone in dating means putting them to the side to date other people."
Breadcumbing,When someone leads you on by flirting and making you feel special but without any intention to actually commit to a relationship.
Cuffing,"""Cuffing"" simply means to get into a relationship."
DTR,Define the relationship
Gaslighting,"refers to a form of psychological manipulation in which a significant other makes you feel crazy or wrong, even when unjustified"
ILY,I love you
Pink flags,"Based on the idea of red flags, pink flags are on step down. They aren’t huge warning signals that something is wrong, but they can hint that this relationship isn’t super healthy"
Smash,means to have casual sex
Situationship,Describes two people who are not officially dating but who have feelings for each other
Zaddy,"Refers to an attractive, well-dressed man. Often, it’s an older man"
Zombie-ing,"This happens after someone ghosts you, and then decides to start talking to you again like nothing ever happened."